"District","FIPS","Year","Variable","Measure Type","Value"
"Western Connecticut Regional Educational Services","","2018-2019","Four Year Graduation Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Western Connecticut Regional Educational Services","","2018-2019","Other Count","Number","-6666"
"Western Connecticut Regional Educational Services","","2018-2019","Other Rate","Percent","-6666"
"Weston School District","900183430","2010-2011","Total Cohort Count","Number","195"
"Weston School District","900183430","2010-2011","Four Year Graduation Count","Number","192"
"Weston School District","900183430","2010-2011","Four Year Graduation Rate","Percent","98.5"
"Weston School District","900183430","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2010-2011","Other Count","Number","-9999"
"Weston School District","900183430","2010-2011","Other Rate","Percent","-9999"
"Weston School District","900183430","2011-2012","Total Cohort Count","Number","191"
"Weston School District","900183430","2011-2012","Four Year Graduation Count","Number","190"
"Weston School District","900183430","2011-2012","Four Year Graduation Rate","Percent","99.5"
"Weston School District","900183430","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2011-2012","Other Count","Number","-9999"
"Weston School District","900183430","2011-2012","Other Rate","Percent","-9999"
"Weston School District","900183430","2012-2013","Total Cohort Count","Number","208"
"Weston School District","900183430","2012-2013","Four Year Graduation Count","Number","206"
"Weston School District","900183430","2012-2013","Four Year Graduation Rate","Percent","99.0"
"Weston School District","900183430","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2012-2013","Other Count","Number","-9999"
"Weston School District","900183430","2012-2013","Other Rate","Percent","-9999"
"Weston School District","900183430","2013-2014","Total Cohort Count","Number","180"
"Weston School District","900183430","2013-2014","Four Year Graduation Count","Number","175"
"Weston School District","900183430","2013-2014","Four Year Graduation Rate","Percent","97.2"
"Weston School District","900183430","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2013-2014","Other Count","Number","-9999"
"Weston School District","900183430","2013-2014","Other Rate","Percent","-9999"
"Weston School District","900183430","2014-2015","Total Cohort Count","Number","167"
"Weston School District","900183430","2014-2015","Four Year Graduation Count","Number","161"
"Weston School District","900183430","2014-2015","Four Year Graduation Rate","Percent","96.4"
"Weston School District","900183430","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2014-2015","Other Count","Number","-9999"
"Weston School District","900183430","2014-2015","Other Rate","Percent","-9999"
"Weston School District","900183430","2015-2016","Total Cohort Count","Number","204"
"Weston School District","900183430","2015-2016","Four Year Graduation Count","Number","-9999"
"Weston School District","900183430","2015-2016","Four Year Graduation Rate","Percent","-9999"
"Weston School District","900183430","2015-2016","Still Enrolled After Four Years Count","Number","0"
"Weston School District","900183430","2015-2016","Still Enrolled After Four Years Rate","Percent","0.0"
"Weston School District","900183430","2015-2016","Other Count","Number","-9999"
"Weston School District","900183430","2015-2016","Other Rate","Percent","-9999"
"Weston School District","900183430","2016-2017","Total Cohort Count","Number","206"
"Weston School District","900183430","2016-2017","Four Year Graduation Count","Number","-9999"
"Weston School District","900183430","2016-2017","Four Year Graduation Rate","Percent","-9999"
"Weston School District","900183430","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2016-2017","Other Count","Number","0"
"Weston School District","900183430","2016-2017","Other Rate","Percent","0.0"
"Weston School District","900183430","2017-2018","Total Cohort Count","Number","205"
"Weston School District","900183430","2017-2018","Four Year Graduation Count","Number","201"
"Weston School District","900183430","2017-2018","Four Year Graduation Rate","Percent","98.0"
"Weston School District","900183430","2017-2018","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2017-2018","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2017-2018","Other Count","Number","-9999"
"Weston School District","900183430","2017-2018","Other Rate","Percent","-9999"
"Weston School District","900183430","2018-2019","Total Cohort Count","Number","210"
"Weston School District","900183430","2018-2019","Four Year Graduation Count","Number","205"
"Weston School District","900183430","2018-2019","Four Year Graduation Rate","Percent","97.6"
"Weston School District","900183430","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Weston School District","900183430","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Weston School District","900183430","2018-2019","Other Count","Number","-9999"
"Weston School District","900183430","2018-2019","Other Rate","Percent","-9999"
"Westport School District","900183500","2010-2011","Total Cohort Count","Number","475"
"Westport School District","900183500","2010-2011","Four Year Graduation Count","Number","459"
"Westport School District","900183500","2010-2011","Four Year Graduation Rate","Percent","96.6"
"Westport School District","900183500","2010-2011","Still Enrolled After Four Years Count","Number","10"
"Westport School District","900183500","2010-2011","Still Enrolled After Four Years Rate","Percent","2.1"
"Westport School District","900183500","2010-2011","Other Count","Number","6"
"Westport School District","900183500","2010-2011","Other Rate","Percent","1.3"
"Westport School District","900183500","2011-2012","Total Cohort Count","Number","429"
"Westport School District","900183500","2011-2012","Four Year Graduation Count","Number","420"
"Westport School District","900183500","2011-2012","Four Year Graduation Rate","Percent","97.9"
"Westport School District","900183500","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Westport School District","900183500","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Westport School District","900183500","2011-2012","Other Count","Number","-9999"
"Westport School District","900183500","2011-2012","Other Rate","Percent","-9999"
"Westport School District","900183500","2012-2013","Total Cohort Count","Number","466"
"Westport School District","900183500","2012-2013","Four Year Graduation Count","Number","460"
"Westport School District","900183500","2012-2013","Four Year Graduation Rate","Percent","98.7"
"Westport School District","900183500","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Westport School District","900183500","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Westport School District","900183500","2012-2013","Other Count","Number","-9999"
"Westport School District","900183500","2012-2013","Other Rate","Percent","-9999"
"Westport School District","900183500","2013-2014","Total Cohort Count","Number","452"
"Westport School District","900183500","2013-2014","Four Year Graduation Count","Number","442"
"Westport School District","900183500","2013-2014","Four Year Graduation Rate","Percent","97.8"
